"Study","Site","Study_length","UniqueID","BlockUnique","Block","PlotUnique","Plot","SppN","Plot_Biomassxbar","Plot_Biomasssd","Plot_TempStab","Plot_Asynchrony","Hill_0","Hill_1","Hill_2","FDis3","RaoQ3","FRic3","FDis4","RaoQ4","FRic4","SLA","LDMC","LeafN","LeafP","PCAdim1_3trts","PCAdim1_4trts","PCAdim1_4trts_site","PCAdim1_3trts_site","eMPD","eMNTD","ePSE","sMPD","sMNTD","sPSV"
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_25","1_AgDiv_Belgium","1","25_AgDiv_Belgium","25",4,270.620593666667,147.492353674579,1.83481100494032,-0.194513373093516,4,2.89514448021319,2.55034387156137,1.18383364878956,1.89942181398497,3.25837652895341,1.35324346526103,2.32464031213746,5.41826115116318,25.0094690631994,0.259605288425493,3.33016399510844,0.280082903431828,1.49812775965911,1.86532944618762,0.249542252466388,0.25299188355467,5.67866832470564,6.16896072447907,0.438951893547972,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_26","1_AgDiv_Belgium","1","26_AgDiv_Belgium","26",4,241.3081481,151.761805551449,1.59004531623205,-0.651477369540037,4,1.95986600691516,1.55221948431241,0.648125146292484,0.850217102594861,3.25837652895341,0.734453367082486,1.09208554142077,5.41826115116318,24.5349666738996,0.270101562577337,3.36097478820349,0.257896213927305,1.4323356742604,1.62994364876799,-0.15764023423645,-0.191439482273576,4.36984036595706,5.56271513896586,0.337781605379928,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_27","1_AgDiv_Belgium","1","27_AgDiv_Belgium","27",1,137.128337633333,38.8856368531776,3.52645214867113,NA,1,1,1,0,0,0,0,0,0,26.694146510059,0.204654500509617,2.68990462833321,0.41053610086913,1.32006406409405,2.78719662953016,1.55149743642939,1.77728126593582,0,0,0,0,0,0
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_28","1_AgDiv_Belgium","1","28_AgDiv_Belgium","28",1,146.842871633333,103.173802312653,1.42325734190108,NA,1,1,1,0,0,0,0,0,0,22.6394166205325,0.312707283015358,2.2062276560831,0.295057975312209,0.0247208729803133,0.795538939425206,-3.04405541248302,-3.02424205068685,0,0,0,0,0,0
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_29","1_AgDiv_Belgium","1","29_AgDiv_Belgium","29",1,201.966744333333,202.401081433964,0.997854077174124,NA,1,1,1,0,0,0,0,0,0,25.0306036309531,0.259184202506662,3.91860649264075,0.223019486283238,2.02818936250812,1.82608444163951,0.841602967608665,0.753162500202822,0,0,0,0,0,0
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_3","1_AgDiv_Belgium","1","3_AgDiv_Belgium","3",4,250.598710866667,156.724669017873,1.59897425489594,-0.0483552332861074,3.33333333333333,1.48584328978515,1.3324734870457,0.50775639632536,0.58660501521693,3.25837652895341,0.562714540040881,0.718314317907665,5.41826115116318,24.3546404145672,0.274168125114241,3.41106343280234,0.245689510428987,1.44136765448268,1.53707846481371,-0.276614130526882,-0.330681342171695,0.54642322670217,3.24165283311379,0.0422376332486268,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_30","1_AgDiv_Belgium","1","30_AgDiv_Belgium","30",1,114.915024866667,55.2609130976071,2.07949920522835,NA,1,1,1,0,0,0,0,0,0,27.2467010699297,0.220151837524323,4.39116515566846,0.266285905052619,2.8510218600502,2.85012422277149,3.13306266410334,3.11749708588426,0,0,0,0,0,0
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_4","1_AgDiv_Belgium","1","4_AgDiv_Belgium","4",4,273.525434166667,158.229901929775,1.7286583056094,0.754995041130729,4,3.04483994510272,2.76164399647772,1.1453041376319,1.84293138718722,3.25837652895341,1.28569632008111,2.20496241638305,5.41826115116318,24.4914259787679,0.271897932879249,3.10571673109364,0.281289500828332,1.19260372455106,1.62810199247112,-0.464174047728433,-0.460741701492241,5.74278752869907,5.35890917414283,0.443908204499126,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_5","1_AgDiv_Belgium","1","5_AgDiv_Belgium","5",4,282.851495266667,174.291332141978,1.62286610464516,0.287098843069963,4,2.58701325997437,2.02231112292011,0.943343672754239,1.36878893279457,3.25837652895341,1.16020387270782,1.92774674988254,5.41826115116318,24.7670946960143,0.263320125296461,3.26020836024728,0.277131436706814,1.3937717990093,1.75616754831554,-0.00717385082363068,-0.0086120933953094,6.89421139541725,7.89103248003818,0.532911410474969,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_6","1_AgDiv_Belgium","1","6_AgDiv_Belgium","6",4,261.819187733333,142.820904981209,1.83319933288324,-0.441020138301164,4,2.63479807554733,2.29198509809449,0.983939218737912,1.38650601832454,3.25837652895341,1.13818917364468,1.77615594970541,5.41826115116318,24.5679838387973,0.269212243616161,3.2907544912163,0.266135389796132,1.37661892767691,1.65242253883638,-0.192303582074268,-0.212662269065021,4.02682967829663,4.76779591177394,0.311267432998933,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_7","1_AgDiv_Belgium","1","7_AgDiv_Belgium","7",4,258.830836733333,193.703516434393,1.33622167267675,-0.674307888630696,4,2.20727842881765,1.74543489571477,0.792112908502519,1.13090360340077,3.25837652895341,0.92491050916167,1.49235741606773,5.41826115116318,24.6262088174308,0.267210596543542,3.36706951895024,0.260951359836411,1.45883817271964,1.67624214511736,-0.049185669080487,-0.0774372609475903,4.8697554830629,5.85289908710914,0.376424236841987,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_8","1_AgDiv_Belgium","1","8_AgDiv_Belgium","8",4,253.996668433333,160.639763560684,1.58115688670933,-0.647759913082145,4,2.57935595921293,2.18357256932155,1.00684797093553,1.48719418520652,3.25837652895341,1.1667928163419,1.92479499958083,5.41826115116318,24.7569443082343,0.263792913022209,3.28575909389538,0.274214842012297,1.41373398663808,1.74845572790591,0.00313178112254701,-0.00313344588347168,5.36907419711242,7.58217059092489,0.415020767310658,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_9","1_AgDiv_Belgium","1","9_AgDiv_Belgium","9",4,262.008129733333,218.151827890098,1.20103568357598,0.201421091059359,3.66666666666667,1.88990541253989,1.57575409950814,0.734420460061844,0.882037197477912,2.40471751141235,0.875475238985279,1.21181968885086,4.07768425434933,24.3419272050686,0.273847285733657,3.27913039990561,0.258142560432024,1.32306126704937,1.54335312913465,-0.404202665507114,-0.438013987420009,1.95817167780309,3.94472695202541,0.152688560518879,10.2970933604172,6.65380222329756,0.530632461714187
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_1","1_AgDiv_Canada","1","1_AgDiv_Canada","1",4,95.1765904666667,38.2815508765642,2.48622608769315,0.0115184810754471,2.66666666666667,2.08842458681032,1.86203607075004,0.491006463256777,0.434753539819722,1.25986648320245,0.934305580612764,1.10694240321552,5.12347686008038,21.9399650115022,0.308639432918363,2.27205173464096,0.276499740777036,0.0155318158382666,0.631682786515579,0.415884075324881,0.041807094709862,9.74023785116705,12.4655586846999,0.752904660724139,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_10","1_AgDiv_Canada","1","10_AgDiv_Canada","10",4,122.164702366667,39.9803350553372,3.05561977401083,-0.00877164241592898,3.66666666666667,2.43380730764918,2.12116930422711,0.684758791923023,0.731295832836286,1.12087130754974,1.05796235099984,1.40885892823465,4.22128562118255,21.7387763798583,0.298401304245465,2.56240492858808,0.25175082769069,0.287815005063358,0.645894738476158,0.174980507530787,0.123893219181003,3.57845239205467,15.0264206407288,0.277703434845212,15.7620300660967,12.1187389289771,0.812252984685675
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_11","1_AgDiv_Canada","1","11_AgDiv_Canada","11",4,134.6843614,59.9967811796471,2.24485978667285,-0.118040030706051,4,2.50351714324404,2.11668955512233,0.707068019761173,0.863763738099048,1.25986648320245,1.08223392095578,1.57637302264352,5.12347686008038,22.3671202350813,0.292472396864206,2.75288126530755,0.251986381762075,0.553330568674902,0.864474289835062,0.300718258446458,0.300098492740872,3.94741340565564,12.6923585081023,0.305128683337745,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_12","1_AgDiv_Canada","1","12_AgDiv_Canada","12",1,62.4547048333333,27.9332497422111,2.23585531256521,NA,1,1,1,0,0,0,0,0,0,22.6394166205325,0.312707283015358,2.2062276560831,0.295057975312209,0.0247208729803133,0.795538939425206,0.710066713858183,0.137248501515612,0,0,0,0,0,0
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_13","1_AgDiv_Canada","1","13_AgDiv_Canada","13",1,135.0386159,33.3442812540233,4.04982836100888,NA,1,1,1,0,0,0,0,0,0,19.8699789788572,0.309313153275976,2.16132482265618,0.240578720563767,-0.33005413085594,0.0475688447775482,-0.289254403136362,-0.34327187072831,0,0,0,0,0,0
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_14","1_AgDiv_Canada","1","14_AgDiv_Canada","14",1,70.5419998,102.738596176337,0.686616348922307,NA,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0,0,0,16.6870690873021,0.172789468337775,2.61240432842717,0.148679657522159,0.18365449316675,-0.34062321274748,-2.61564155797421,-1.64896783753928,0,0,0,0,0,0
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_15","1_AgDiv_Canada","1","15_AgDiv_Canada","15",1,18.8802726,26.9773921009147,0.699855365165554,NA,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0,0,0,18.1644673799531,0.146767891682882,2.92744343711231,0.177523936701746,0.732209491528137,0.34206997467384,-2.17461113199662,-1.42464913578298,0,0,0,0,0,0
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_16","1_AgDiv_Canada","1","16_AgDiv_Canada","16",4,164.0200879,96.8099811246319,1.69424770043951,0.431986810939683,3.33333333333333,2.10528711417212,1.95025941128099,0.622208054592295,0.527144595723962,1.25986648320245,1.11038422287229,1.41081589815399,5.12347686008038,22.42280508119,0.300644747081761,2.55164274036548,0.266001682566108,0.350903783575998,0.817575595325409,0.431571814747416,0.239331737017619,2.81014645119124,10.8482810198558,0.217219783823428,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_17","1_AgDiv_Canada","1","17_AgDiv_Canada","17",4,145.8042732,38.5663983103774,3.7806038309978,0.0115895461108557,3,1.97118169633615,1.77731470612621,0.397891035168677,0.268691802447161,1.25986648320245,0.845897063056424,0.922621673311147,4.13525990315845,21.2103397919456,0.30957982476197,2.22077467492133,0.264380178620138,-0.119731614436149,0.419492763442033,0.173165410782509,-0.0964430476275591,3.17230357028697,17.7370241601715,0.245439678031589,16.6728528503766,13.9403844975369,0.859189738514256
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_18","1_AgDiv_Canada","1","18_AgDiv_Canada","18",4,147.537364966667,50.1147268727317,2.94399219896665,-0.321288681171955,3.66666666666667,1.72877807410143,1.44563219159949,0.481780235876271,0.507982853064259,1.12087130754974,0.651144182942541,0.834687078775659,4.22128562118255,21.6249768172414,0.295477994228227,2.66348587102948,0.241406337301689,0.375161701088192,0.630541362596839,0.0719196011456319,0.151093560835773,2.68596093968806,14.542773054285,0.213883808840301,15.7620300660967,12.1187389289771,0.812252984685675
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_19","1_AgDiv_Canada","1","19_AgDiv_Canada","19",4,135.719387666667,5.68157551714364,23.8876324458147,-0.995360752340493,3,1.8093052524698,1.58758881864551,0.496291083389733,0.590648430233611,1.25986648320245,0.757048750060699,1.00756310110838,4.13525990315845,21.6276556413988,0.305619905501539,2.31791141700893,0.267778432432587,0.030434646219866,0.570099752807302,0.277770899629028,0.00044712885513244,4.13019724614446,13.5277525364618,0.321079712168252,16.6728528503766,13.9403844975369,0.859189738514256
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_2","1_AgDiv_Canada","1","2_AgDiv_Canada","2",4,142.816796133333,49.6075687444932,2.8789315773349,0.335841530088175,3.66666666666667,2.03341778608233,1.73974240606886,0.631763217984278,0.751377509401499,1.25986648320245,0.80022410607696,1.1055167510986,4.46466555546576,21.1260410254374,0.300041528317537,2.49281971693613,0.243510248156129,0.147482675949049,0.462133122094567,-0.0134325012889733,-0.00320682314646334,4.297280658072,16.0474584575816,0.332259190600787,15.7620300660967,12.1187389289771,0.812252984685675
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_20","1_AgDiv_Canada","1","20_AgDiv_Canada","20",4,149.335184233333,58.0154774175109,2.57405766324452,0.0694006970242541,3.66666666666667,2.2860293410652,2.01743620992516,0.699402076379735,0.717182243779009,1.12087130754974,1.0689687085907,1.45046109103319,4.22128562118255,22.1975426188805,0.294491292708488,2.71978685578503,0.249440861019875,0.49655295690397,0.797221190995751,0.251941069154715,0.26844294622373,3.65815104817544,12.9772908780108,0.283235587142694,15.7620300660967,12.1187389289771,0.812252984685675
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_21","1_AgDiv_Canada","1","21_AgDiv_Canada","21",4,165.523023433333,51.5586811380296,3.21038125452056,0.120113160341845,3,2.32681224188725,2.1323255828519,0.668218658151345,0.623026563333235,1.05137371972339,1.14806741964712,1.50978474991816,3.77019000173364,21.9729773801026,0.301511201266925,2.49864818580703,0.260545353952192,0.247375987954177,0.687070252859559,0.296026724076567,0.141938077105021,4.9762846560972,12.5417205653688,0.44291323102587,16.6728528503766,13.9403844975369,0.859189738514256
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_22","1_AgDiv_Canada","1","22_AgDiv_Canada","22",4,145.8103508,50.3065270379801,2.8984380235574,-0.49538650312063,3.66666666666667,2.24774374232107,1.99997142518783,0.635149500945468,0.667092144531742,1.12087130754974,0.986712621511717,1.3587736929692,4.22128562118255,22.4314606498245,0.29181081580568,2.80897701899696,0.248064855754732,0.613425426782507,0.881070777636277,0.287651068437782,0.342552461283021,3.5812500898128,12.2899840753876,0.282631211767293,15.7620300660967,12.1187389289771,0.812252984685675
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_23","1_AgDiv_Canada","1","23_AgDiv_Canada","23",4,76.6278471,35.0490663342224,2.18630209345062,-0.26287066593565,3.33333333333333,2.34953372447255,2.15185531846557,0.717484173956041,0.880693814702415,1.25986648320245,1.11387816617554,1.55016612941633,5.12347686008038,22.7339582936453,0.295425484758332,2.61685312216459,0.271904319694452,0.464486100841763,0.958415390973428,0.5241825329802,0.287956765492056,4.22538311847278,10.0871158466687,0.326615293369049,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_24","1_AgDiv_Canada","1","24_AgDiv_Canada","24",4,193.882953533333,44.3247271366079,4.37414883425655,-0.420823863754988,3.33333333333333,2.19586057791406,1.96721198601501,0.65953753872958,0.623637042494569,1.25986648320245,1.03310279699895,1.25532759846163,5.12347686008038,21.7854103358667,0.29886035899,2.56861651667306,0.251613486558484,0.297235701511687,0.652693135609392,0.186229613664032,0.139009340079362,4.73376043398781,13.149389208544,0.365912039106305,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_25","1_AgDiv_Canada","1","25_AgDiv_Canada","25",4,152.959670533333,56.1558265436997,2.72384327589412,0.207790949096961,3.33333333333333,2.49541008113749,2.29159063231779,0.680999711479523,0.812478596735056,1.25986648320245,1.02157673344557,1.42510058076754,5.12347686008038,21.371849481741,0.30097345565208,2.44764181463485,0.253012760141598,0.132774646510574,0.529585855123525,0.10779454706861,0.011247595856757,5.67867668623469,14.7165783540611,0.43895253988067,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_26","1_AgDiv_Canada","1","26_AgDiv_Canada","26",4,208.298645766667,59.6166399948235,3.4939682240521,-0.400112246912075,3.33333333333333,1.65469127478211,1.45501780334822,0.306145039427382,0.270793505424024,1.25986648320245,0.520625021681123,0.620672169249089,5.12347686008038,22.0389120968405,0.292451985151406,2.77455157489661,0.242139411939338,0.534057601932463,0.766485952565641,0.161391099475201,0.264642787620211,2.33232233818233,10.623739825824,0.180284751313141,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_27","1_AgDiv_Canada","1","27_AgDiv_Canada","27",1,77.2928025666667,36.58010803223,2.11297360025743,NA,1,1,1,0,0,0,0,0,0,22.6394166205325,0.312707283015358,2.2062276560831,0.295057975312209,0.0247208729803133,0.795538939425206,0.710066713858183,0.137248501515612,0,0,0,0,0,0
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_28","1_AgDiv_Canada","1","28_AgDiv_Canada","28",1,207.7992426,44.1217995781451,4.70967287342762,NA,1,1,1,0,0,0,0,0,0,19.8699789788572,0.309313153275976,2.16132482265618,0.240578720563767,-0.33005413085594,0.0475688447775482,-0.289254403136362,-0.34327187072831,0,0,0,0,0,0
"AgDiv","AgDiv_Canada",3,"AgDiv_AgDiv_Canada_1_29","1_AgDiv_Canada","1","29_AgDiv_Canada","29",1,67.9312240666667,75.2974693820461,0.902171409267363,NA,1,1,1,0,0,0,0,0,0,25.0306036309531,0.259184202506662,3.91860649264075,0.223019486283238,2.02818936250812,1.82608444163951,0.61147108225982,1.22312027703943,0,0,0,0,0,0
